OBJECTID,Area_Acres,Park_ID,Address,Name,Park_Class,ACRES
283,181.20376281,299,4730 Crystal Springs Dr,Wilson Golf Course,R,181.20376281
284,15.94776638,198,8401 Winnetka Ave,Winnetka Recreation Center,C,15.94776638
285,0.66796957,667,3409 Vinton Ave,Woodbine Park,N,0.66796957
286,4.70724142,199,11240 Moorpark St,Woodbridge Park,N,4.70724142
287,18.75959737,527,5858 Shoup Ave,Woodland Hills Recreation Center,C,18.75959737
288,238.88784079,809,6331 Woodley Ave,Woodley Lakes Golf Course,R,238.88784079
289,10.00311971,200,1840 Yosemite Drive,Yosemite Recreation Center,C,10.00311971
290,0.9716847,273,6671 W Yucca St,Yucca Community Center,N,0.9716847
291,9.73628318,201,11690 Zelzah Ave,Zelzah Park,N,9.73628318
292,0.13172939,208,5207 S Broadway,Broadway Park,N,0.13172939
293,3.116622,233,1122 Cole Ave,Hollywood Recreation Center,N,3.116622
294,0.32394081,227,1644-48 Beverly Blvd,Beverly Park,N,0.32394081
295,0.21738554,236,3305 Larissa Dr,Larissa Parkway,N,0.21738554
296,0.32174466,238,3022 Del Monte Dr.,Laurel and Hardy Park,N,0.32174466
297,0.43145327,242,1571 Rockwood St,Rockwood Community Park,N,0.43145327
298,0.3443659,243,5707 Lexington Ave,Seily Rodriguez Park,N,0.3443659
299,3.93497998,245,1850 W Silverlake Blvd,Silverlake Recreation Center,N,3.93497998
300,18.33573701,229,1800 Riverside Dr.,Elysian Park Expansion,C,18.33573701
301,0.56091512,248,Occidental Blvd,Occidental Parkway,N,0.56091512
302,12.48760028,510,Wooded Vista & Twisted Oak Dr,Knapp Ranch Park West,C,12.48760028
303,16.96064883,505,20856 Mulholland Dr,Caplow Property,C,16.96064883
304,40.50806384,509,4720 Corbin Ave,Corbin Canyon Park,C,40.50806384
305,0.10446148,513,5250 N. Mecca Ave,Mecca Avenue Park,N,0.10446148
306,14.58842132,515,19900 Mulholland Dr,Pilson Property,C,14.58842132
307,21.35216536,521,S. of Owen Brown Road,Steers Property,C,21.35216536
308,0.78864455,507,8120 Vanalden Ave,Cleveland High School Pool,N,0.78864455
309,12.50909174,753,20500 Sesnon Blvd,Holleigh Bernson Memorial Park,C,12.50909174
310,0.08313287,774,18501 Rinaldi St,Rinaldi Park,N,0.08313287
311,10.89660145,777,15800 Rinaldi St,Van Norman Lakes Reservoir,C,10.89660145
312,2.90303784,202,9301 Valley Circle Blvd.,Chatsworth Oaks Park,N,2.90303784
313,22.21382075,752,17301 Sesnon Blvd,Bee Canyon Park,C,22.21382075
314,8.115835,165,5790 Compton Ave,Augustus F. Hawkins Natural Park,N,8.115835
315,0.54130545,219,5350 Alba St,Pueblo del Rio Recreation Center,N,0.54130545
316,0.14522547,602,4521 S Central Ave,Vernon Branch Library Pocket Park,N,0.14522547
317,131.1977405,101,2660 Westridge Rd,Mandeville Canyon Park,R,131.1977405
318,23.28643538,103,NE of Sullivan Fire Rd (per Alpha; no other address or HSENO),Sullivan Canyon Park,C,23.28643538
319,25.75591813,104,East end of Oracle Place; no other street address or HSENO available,Rivas Canyon Park,C,25.75591813
320,0.46358084,112,Via Las Palmas & Via La Costa,Temescal Ridge Trailhead,N,0.46358084
321,24.38543131,114,15400 Pacific Coast Hwy,Palisades Park (Pacific Palisades),C,24.38543131
322,1.556321,118,333 S Barrington Ave,Barrington Dog Park,N,1.556321
323,14.32617065,123,3324 S Centinela Ave,Venice Reservoir Site,C,14.32617065
324,149.53595831,225,8751-9461 Valley Circle Blvd,Chatsworth Reservoir Site,R,149.53595831
325,82.3419685,999,Balboa Blvd. across from Balboa Golf Course,Balboa Sports Center,R,82.3419685
326,1538.59641923,750,17017 Burbank Blvd,Sepulveda Basin Recreation Area,R,1538.59641923
327,109.66407201,808,6350 Woodley Ave,Woodley Avenue Park,R,109.66407201
328,14.71660197,178,Burbank Blvd. across from Encino Golf Course,Hjelte Sports Center,C,14.71660197
329,1.54823408,998,7174 N. Hayvenhurst Ave,Encino Park and Ride,N,1.54823408
330,24.09100738,159,16633 Magnolia Blvd,Sepulveda Garden Center,C,24.09100738
331,169.24247559,810,6200 Balboa Blvd,Anthony C. Beilenson Park,R,169.24247559
332,18.22357032,761,13100 Balboa Blvd,Granada Hills Youth Recreation Center,C,18.22357032
333,50.11097445,996,W of Porter Ranch Dr. S of Sesnon Blvd.,Porter Ranch-Sesnon Property,R,50.11097445
334,25.88103696,765,19900 Sesnon Blvd,Moonshine Canyon Park,C,25.88103696
335,51.9927585,754,Browns Canyon Rd,Browns Creek Park,R,51.9927585
